标题,源文件相对路径,层级,祖先路径,一级,二级
[UA] 杀戮圣武士(混乱邪恶),7 扩展全新体系\UA破译奥秘\2职业\变体\杀戮圣武士.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 圣武士,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 专制圣武士(守序邪恶),7 扩展全新体系\UA破译奥秘\2职业\变体\专制圣武士.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 圣武士,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 宿敌,7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\圣武士.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 圣武士,速查(内容不完全),基础职业(含替代等级/能力)
[PHB] 巡林客,0 核心三宝书\PHB玩家手册\3职业\基础职业\巡林客.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 扰乱攻击,1 核心补充书籍\PHB2玩家手册2\职业替代能力\巡林客.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 巡林客,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 位面巡林客,7 扩展全新体系\UA破译奥秘\2职业\变体\巡林客变体.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 巡林客,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 城市巡林客,7 扩展全新体系\UA破译奥秘\2职业\变体\城市游侠.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 巡林客,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 宿敌变体：偏好自然环境,7 扩展全新体系\UA破译奥秘\2职业\职业特性变体\宿敌变体：偏好自然环境.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 巡林客,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 荒野变形和移速,7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\巡林客.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 巡林客,速查(内容不完全),基础职业(含替代等级/能力)
[PHB] 游荡者,0 核心三宝书\PHB玩家手册\3职业\基础职业\游荡者.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 扰乱攻击,1 核心补充书籍\PHB2玩家手册2\职业替代能力\游荡者.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 游荡者,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 荒野游荡者,7 扩展全新体系\UA破译奥秘\2职业\变体\游荡者变体.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 游荡者,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 战士奖励专长,7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\盗贼.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 游荡者,速查(内容不完全),基础职业(含替代等级/能力)
[PHB] 术士,0 核心三宝书\PHB玩家手册\3职业\基础职业\术士.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 超魔专家,1 核心补充书籍\PHB2玩家手册2\职业替代能力\术士.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 术士,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 战斗术士,7 扩展全新体系\UA破译奥秘\2职业\变体\术士变体.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 术士,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 动物伙伴,7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\术士法师.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 术士,速查(内容不完全),基础职业(含替代等级/能力)
[PHB] 法师,0 核心三宝书\PHB玩家手册\3职业\基础职业\法师.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 直觉魔法,1 核心补充书籍\PHB2玩家手册2\职业替代能力\法师.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 法师,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 领域法师,7 扩展全新体系\UA破译奥秘\2职业\变体\法师变体.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 法师,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 法师专精变体,7 扩展全新体系\UA破译奥秘\2职业\变体\法师专精变体.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 法师,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 动物伙伴,7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\术士法师.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 法师,速查(内容不完全),基础职业(含替代等级/能力)
[UA] 战士奖励专长,7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\法师.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 法师,速查(内容不完全),基础职业(含替代等级/能力)
灵能,,3,速查(内容不完全) / 基础职业(含替代等级/能力),速查(内容不完全),基础职业(含替代等级/能力)
[XPH] 心灵术士,1 核心补充书籍\XPH扩展灵能手册\2基础\心灵术士.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 灵能,速查(内容不完全),基础职业(含替代等级/能力)
[CPsi] 心灵学者,3 完美系列\CPsi完美灵能\1.基础\心灵学者.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 灵能 / [XPH] 心灵术士,速查(内容不完全),基础职业(含替代等级/能力)
[XPH] 心灵武士,1 核心补充书籍\XPH扩展灵能手册\2基础\心灵武士.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 灵能,速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 灵域武士、魂铸武器,1 核心补充书籍\PHB2玩家手册2\职业替代能力\扩展职业.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 灵能 / [XPH] 心灵武士,速查(内容不完全),基础职业(含替代等级/能力)
[XPH] 魂刃者,1 核心补充书籍\XPH扩展灵能手册\2基础\魂刃者.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 灵能,速查(内容不完全),基础职业(含替代等级/能力)
[XPH] 狂念者,1 核心补充书籍\XPH扩展灵能手册\2基础\狂念者.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 灵能,速查(内容不完全),基础职业(含替代等级/能力)
[CPsi] 炽念使,3 完美系列\CPsi完美灵能\1.基础\炽念使.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 灵能,速查(内容不完全),基础职业(含替代等级/能力)
[CPsi] 圣念者,3 完美系列\CPsi完美灵能\1.基础\圣念者.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 灵能,速查(内容不完全),基础职业(含替代等级/能力)
[CPsi] 潜伏者,3 完美系列\CPsi完美灵能\1.基础\潜伏者.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 灵能,速查(内容不完全),基础职业(含替代等级/能力)
完美系列(不含灵能),,3,速查(内容不完全) / 基础职业(含替代等级/能力),速查(内容不完全),基础职业(含替代等级/能力)
[CAd] 忍者,3 完美系列\CAd完美冒险\基础\忍者.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 完美系列(不含灵能),速查(内容不完全),基础职业(含替代等级/能力)
[CAd] 斥候,3 完美系列\CAd完美冒险\基础\斥候.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 完美系列(不含灵能),速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 地城专家,1 核心补充书籍\PHB2玩家手册2\职业替代能力\斥候.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 完美系列(不含灵能) / [CAd] 斥候,速查(内容不完全),基础职业(含替代等级/能力)
[CAd] 盗法者,3 完美系列\CAd完美冒险\基础\盗法者.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 完美系列(不含灵能),速查(内容不完全),基础职业(含替代等级/能力)
[CAr] 邪术师,3 完美系列\CAr完美奥术\1.基础\邪术师.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 完美系列(不含灵能),速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 炼狱火环,1 核心补充书籍\PHB2玩家手册2\职业替代能力\邪术师.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 完美系列(不含灵能) / [CAr] 邪术师,速查(内容不完全),基础职业(含替代等级/能力)
[CAr] 战法师,3 完美系列\CAr完美奥术\1.基础\战法师.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 完美系列(不含灵能),速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 学无定式,1 核心补充书籍\PHB2玩家手册2\职业替代能力\战法师.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 完美系列(不含灵能) / [CAr] 战法师,速查(内容不完全),基础职业(含替代等级/能力)
[CAr] 巫觋,3 完美系列\CAr完美奥术\1.基础\巫觋.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 完美系列(不含灵能),速查(内容不完全),基础职业(含替代等级/能力)
[CD] 天佑者,3 完美系列\CD完美神力\基础职业\天佑者.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 完美系列(不含灵能),速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 神之惠,1 核心补充书籍\PHB2玩家手册2\职业\天佑者.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 完美系列(不含灵能) / [CD] 天佑者,速查(内容不完全),基础职业(含替代等级/能力)
[CD] 修验者,3 完美系列\CD完美神力\基础职业\修验者（Shugenja）.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 完美系列(不含灵能),速查(内容不完全),基础职业(含替代等级/能力)
[CD] 灵魂萨满,3 完美系列\CD完美神力\基础职业\灵魂萨满（Spirit Shaman）.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 完美系列(不含灵能),速查(内容不完全),基础职业(含替代等级/能力)
[CW] 武士,3 完美系列\CW完美战力\1基础\武士.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 完美系列(不含灵能),速查(内容不完全),基础职业(含替代等级/能力)
[CW] 魔剑客,3 完美系列\CW完美战力\1基础\魔剑客.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 完美系列(不含灵能),速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 黑暗伙伴,1 核心补充书籍\PHB2玩家手册2\职业\魔剑客.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 完美系列(不含灵能) / [CW] 魔剑客,速查(内容不完全),基础职业(含替代等级/能力)
[CW] 游荡剑客,3 完美系列\CW完美战力\1基础\游荡剑客.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 完美系列(不含灵能),速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 剑刃之盾,1 核心补充书籍\PHB2玩家手册2\职业替代能力\游荡剑客.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 完美系列(不含灵能) / [CW] 游荡剑客,速查(内容不完全),基础职业(含替代等级/能力)
九剑和魔法,,3,速查(内容不完全) / 基础职业(含替代等级/能力),速查(内容不完全),基础职业(含替代等级/能力)
[ToB] 天诛之剑,7 扩展全新体系\ToB战斗卷册\1基础\天诛之剑.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 九剑和魔法,速查(内容不完全),基础职业(含替代等级/能力)
[ToB] 贤者之剑,7 扩展全新体系\ToB战斗卷册\1基础\贤者之剑.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 九剑和魔法,速查(内容不完全),基础职业(含替代等级/能力)
[ToB] 军道之剑,7 扩展全新体系\ToB战斗卷册\1基础\军道之剑.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 九剑和魔法,速查(内容不完全),基础职业(含替代等级/能力)
[ToM] 灵契师,7 扩展全新体系\ToM魔法卷册\1契约之力\1灵契师\灵契师.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 九剑和魔法,速查(内容不完全),基础职业(含替代等级/能力)
[ToM] 暗影秘使,7 扩展全新体系\ToM魔法卷册\2暗影秘闻\暗影密使\暗影秘使.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 九剑和魔法,速查(内容不完全),基础职业(含替代等级/能力)
[ToM] 真名师,7 扩展全新体系\ToM魔法卷册\3万物真名\真名师.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 九剑和魔法,速查(内容不完全),基础职业(含替代等级/能力)
其他,,3,速查(内容不完全) / 基础职业(含替代等级/能力),速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 欺愚者,1 核心补充书籍\PHB2玩家手册2\职业\欺愚者.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 其他,速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 龙之萨满,1 核心补充书籍\PHB2玩家手册2\职业\龙之萨满.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 其他,速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 暮刃,1 核心补充书籍\PHB2玩家手册2\职业\暮刃.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 其他,速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 骑士,1 核心补充书籍\PHB2玩家手册2\职业\骑士.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 其他,速查(内容不完全),基础职业(含替代等级/能力)
[DrM] 龙火达人,6 种族书\DrM龙之魔力\第二章\龙火达人.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 其他,速查(内容不完全),基础职业(含替代等级/能力)
[Dungeon] 杂学士,5 环境和社会\Dungeon地城风光\杂学士.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 其他,速查(内容不完全),基础职业(含替代等级/能力)
[HoH] 卷宗学者,7 扩展全新体系\HoH惊骇英雄\基础\卷宗学者.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 其他,速查(内容不完全),基础职业(含替代等级/能力)
[HoH] 恐惧死灵师,7 扩展全新体系\HoH惊骇英雄\基础\恐惧死灵师.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 其他,速查(内容不完全),基础职业(含替代等级/能力)
[MH] 元戎,7 扩展全新体系\MH模型手册\1基础\元戎.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 其他,速查(内容不完全),基础职业(含替代等级/能力)
[PHB2] 底力爆发,1 核心补充书籍\PHB2玩家手册2\职业替代能力\元戎.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / 其他 / [MH] 元戎,速查(内容不完全),基础职业(含替代等级/能力)
[MH] 治疗师,7 扩展全新体系\MH模型手册\1基础\治疗师.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / 其他,速查(内容不完全),基础职业(含替代等级/能力)
UA,,3,速查(内容不完全) / 基础职业(含替代等级/能力),速查(内容不完全),基础职业(含替代等级/能力)
双重角色,7 扩展全新体系\UA破译奥秘\完型角色.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / UA,速查(内容不完全),基础职业(含替代等级/能力)
泛用职业,7 扩展全新体系\UA破译奥秘\2职业\泛用职业\泛用职业.htm,4,速查(内容不完全) / 基础职业(含替代等级/能力) / UA,速查(内容不完全),基础职业(含替代等级/能力)
施法者,7 扩展全新体系\UA破译奥秘\2职业\泛用职业\施法者.htm,5,速查(内容不完全) / 基础职业(含替代等级/能力) / UA / 泛用职业,速查(内容不完全),基础职业(含替代等级/能力)
