源文件相对路径,HHC标题,Tiddler标题,层级,祖先路径,一级,二级,标签,所在目录
1 核心补充书籍\MM3怪物图鉴3\玩家可选\Armand 阿曼德人.htm,[MM3] 阿曼德人,阿曼德人 (MM3-怪物图鉴3),4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统),[[1 核心补充书籍]] [[MM3怪物图鉴3]],1 核心补充书籍\MM3怪物图鉴3\玩家可选
"1 核心补充书籍\MM3怪物图鉴3\玩家可选\Troll,Crystalline 水晶巨魔.htm",[MM3] 水晶巨魔,水晶巨魔 (MM3-怪物图鉴3),4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统),[[1 核心补充书籍]] [[MM3怪物图鉴3]],1 核心补充书籍\MM3怪物图鉴3\玩家可选
1 核心补充书籍\MM3怪物图鉴3\玩家可选\Nycter 尼克特蝠人.htm,[MM3] 尼克特蝠人,尼克特蝠人 (MM3-怪物图鉴3),4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统),[[1 核心补充书籍]] [[MM3怪物图鉴3]],1 核心补充书籍\MM3怪物图鉴3\玩家可选
"1 核心补充书籍\MM3怪物图鉴3\玩家可选\Ogre,Skullcrusher 碎颅食人魔.htm",[MM3] 碎颅食人魔,碎颅食人魔 (MM3-怪物图鉴3),4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统),[[1 核心补充书籍]] [[MM3怪物图鉴3]],1 核心补充书籍\MM3怪物图鉴3\玩家可选
"1 核心补充书籍\MM3怪物图鉴3\玩家可选\Rakshasa,Naztharune 纳达鲁恩邪兽鬼.htm",[MM3] 纳达鲁恩邪兽鬼,纳达鲁恩邪兽鬼 (MM3-怪物图鉴3),4,速查(内容不完全) / 种族(含亚种和血统) / 有种族HD,速查(内容不完全),种族(含亚种和血统),[[1 核心补充书籍]] [[MM3怪物图鉴3]],1 核心补充书籍\MM3怪物图鉴3\玩家可选
0 核心三宝书\PHB玩家手册\3职业\基础职业\野蛮人.htm,[PHB] 野蛮人,野蛮人 (PHB-玩家手册),4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力),[[0 核心三宝书]] [[PHB玩家手册]],0 核心三宝书\PHB玩家手册\3职业\基础职业
1 核心补充书籍\PHB2玩家手册2\职业替代能力\野蛮人.htm,[PHB2] 狂战士之力,狂战士之力 (PHB2-玩家手册2),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 野蛮人,速查(内容不完全),基础职业(含替代等级/能力),[[1 核心补充书籍]] [[PHB2玩家手册2]],1 核心补充书籍\PHB2玩家手册2\职业替代能力
7 扩展全新体系\UA破译奥秘\2职业\变体\野蛮人变体.htm,[UA] 图腾野蛮人,图腾野蛮人 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 野蛮人,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体
7 扩展全新体系\UA破译奥秘\2职业\职业特性变体\狂暴变体：旋风狂暴.htm,[UA] 旋风狂暴,旋风狂暴 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 野蛮人,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\职业特性变体
7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\野蛮人.htm,[UA] 宿敌、战斗风格,宿敌、战斗风格 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 野蛮人,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体
0 核心三宝书\PHB玩家手册\3职业\基础职业\吟游诗人.htm,[PHB] 吟游诗人,吟游诗人 (PHB-玩家手册),4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力),[[0 核心三宝书]] [[PHB玩家手册]],0 核心三宝书\PHB玩家手册\3职业\基础职业
1 核心补充书籍\PHB2玩家手册2\职业替代能力\吟游诗人.htm,[PHB2] 百变花招,百变花招 (PHB2-玩家手册2),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 吟游诗人,速查(内容不完全),基础职业(含替代等级/能力),[[1 核心补充书籍]] [[PHB2玩家手册2]],1 核心补充书籍\PHB2玩家手册2\职业替代能力
7 扩展全新体系\UA破译奥秘\2职业\变体\吟游贤者.htm,[UA] 吟游贤者,吟游贤者 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 吟游诗人,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体
7 扩展全新体系\UA破译奥秘\2职业\变体\神术诗人.htm,[UA] 神圣吟游诗人,神圣吟游诗人 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 吟游诗人,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体
7 扩展全新体系\UA破译奥秘\2职业\变体\野蛮诗人.htm,[UA] 野蛮吟游诗人,野蛮吟游诗人 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 吟游诗人,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体
7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\吟游诗人.htm,[UA] 德鲁伊能力,德鲁伊能力 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 吟游诗人,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体
0 核心三宝书\PHB玩家手册\3职业\基础职业\牧师.htm,[PHB] 牧师,牧师 (PHB-玩家手册),4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力),[[0 核心三宝书]] [[PHB玩家手册]],0 核心三宝书\PHB玩家手册\3职业\基础职业
1 核心补充书籍\PHB2玩家手册2\职业替代能力\牧师.htm,[PHB2] 自发领域法术,自发领域法术 (PHB2-玩家手册2),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 牧师,速查(内容不完全),基础职业(含替代等级/能力),[[1 核心补充书籍]] [[PHB2玩家手册2]],1 核心补充书籍\PHB2玩家手册2\职业替代能力
7 扩展全新体系\UA破译奥秘\2职业\变体\牧师变体.htm,[UA] 修道牧师,修道牧师 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 牧师,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体
7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\牧师.htm,[UA] 圣武士能力,圣武士能力 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 牧师,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体
7 扩展全新体系\UA破译奥秘\2职业\职业特性变体\自发神术变体.htm,[UA] 自发施法,自发施法 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 牧师,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\职业特性变体
0 核心三宝书\PHB玩家手册\3职业\基础职业\德鲁伊.htm,[PHB] 德鲁伊,德鲁伊 (PHB-玩家手册),4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力),[[0 核心三宝书]] [[PHB玩家手册]],0 核心三宝书\PHB玩家手册\3职业\基础职业
1 核心补充书籍\PHB2玩家手册2\职业替代能力\德鲁伊.htm,[PHB2] 自发回春、自然化身,自发回春、自然化身 (PHB2-玩家手册2),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 德鲁伊,速查(内容不完全),基础职业(含替代等级/能力),[[1 核心补充书籍]] [[PHB2玩家手册2]],1 核心补充书籍\PHB2玩家手册2\职业替代能力
7 扩展全新体系\UA破译奥秘\2职业\变体\德鲁伊变体.htm,[UA] 德鲁伊复仇者,德鲁伊复仇者 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 德鲁伊,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体
7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\德鲁伊.htm,[UA] 武僧与游侠能力,武僧与游侠能力 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 德鲁伊,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体
7 扩展全新体系\UA破译奥秘\2职业\职业特性变体\荒野形态变体：自然特征.htm,[UA] 荒野形态变体：自然特征,荒野形态变体：自然特征 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 德鲁伊,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\职业特性变体
0 核心三宝书\PHB玩家手册\3职业\基础职业\战士.htm,[PHB] 战士,战士 (PHB-玩家手册),4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力),[[0 核心三宝书]] [[PHB玩家手册]],0 核心三宝书\PHB玩家手册\3职业\基础职业
1 核心补充书籍\PHB2玩家手册2\职业替代能力\战士.htm,[PHB2] 躲闪攻击、反击、会心一击,躲闪攻击、反击、会心一击 (PHB2-玩家手册2),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 战士,速查(内容不完全),基础职业(含替代等级/能力),[[1 核心补充书籍]] [[PHB2玩家手册2]],1 核心补充书籍\PHB2玩家手册2\职业替代能力
7 扩展全新体系\UA破译奥秘\2职业\变体\战士变体.htm,[UA] 暴徒,暴徒 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 战士,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体
7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\战士.htm,[UA] 偷袭,偷袭 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 战士,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体
0 核心三宝书\PHB玩家手册\3职业\基础职业\武僧.htm,[PHB] 武僧,武僧 (PHB-玩家手册),4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力),[[0 核心三宝书]] [[PHB玩家手册]],0 核心三宝书\PHB玩家手册\3职业\基础职业
1 核心补充书籍\PHB2玩家手册2\职业替代能力\武僧.htm,[PHB2] 乾坤一击,乾坤一击 (PHB2-玩家手册2),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 武僧,速查(内容不完全),基础职业(含替代等级/能力),[[1 核心补充书籍]] [[PHB2玩家手册2]],1 核心补充书籍\PHB2玩家手册2\职业替代能力
7 扩展全新体系\UA破译奥秘\2职业\变体\武僧变体.htm,[UA] 战斗方式,战斗方式 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 武僧,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体
7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\武僧.htm,[UA] 伤害减免,伤害减免 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 武僧,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体
0 核心三宝书\PHB玩家手册\3职业\基础职业\圣武士.htm,[PHB] 圣武士,圣武士 (PHB-玩家手册),4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力),[[0 核心三宝书]] [[PHB玩家手册]],0 核心三宝书\PHB玩家手册\3职业\基础职业
1 核心补充书籍\PHB2玩家手册2\职业替代能力\圣武士.htm,[PHB2] 冲锋痛击,冲锋痛击 (PHB2-玩家手册2),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 圣武士,速查(内容不完全),基础职业(含替代等级/能力),[[1 核心补充书籍]] [[PHB2玩家手册2]],1 核心补充书籍\PHB2玩家手册2\职业替代能力
7 扩展全新体系\UA破译奥秘\2职业\变体\自由圣武士.htm,[UA] 自由圣武士(混乱善良),自由圣武士(混乱善良) (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 圣武士,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体
7 扩展全新体系\UA破译奥秘\2职业\变体\杀戮圣武士.htm,[UA] 杀戮圣武士(混乱邪恶),杀戮圣武士(混乱邪恶) (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 圣武士,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体
7 扩展全新体系\UA破译奥秘\2职业\变体\专制圣武士.htm,[UA] 专制圣武士(守序邪恶),专制圣武士(守序邪恶) (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 圣武士,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体
7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\圣武士.htm,[UA] 宿敌,宿敌 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 圣武士,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体
0 核心三宝书\PHB玩家手册\3职业\基础职业\巡林客.htm,[PHB] 巡林客,巡林客 (PHB-玩家手册),4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力),[[0 核心三宝书]] [[PHB玩家手册]],0 核心三宝书\PHB玩家手册\3职业\基础职业
1 核心补充书籍\PHB2玩家手册2\职业替代能力\巡林客.htm,[PHB2] 扰乱攻击,扰乱攻击(巡林客) (PHB2-玩家手册2),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 巡林客,速查(内容不完全),基础职业(含替代等级/能力),[[1 核心补充书籍]] [[PHB2玩家手册2]],1 核心补充书籍\PHB2玩家手册2\职业替代能力
7 扩展全新体系\UA破译奥秘\2职业\变体\巡林客变体.htm,[UA] 位面巡林客,位面巡林客 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 巡林客,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体
7 扩展全新体系\UA破译奥秘\2职业\变体\城市游侠.htm,[UA] 城市巡林客,城市巡林客 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 巡林客,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体
7 扩展全新体系\UA破译奥秘\2职业\职业特性变体\宿敌变体：偏好自然环境.htm,[UA] 宿敌变体：偏好自然环境,宿敌变体：偏好自然环境 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 巡林客,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\职业特性变体
7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体\巡林客.htm,[UA] 荒野变形和移速,荒野变形和移速 (UA-破译奥秘),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 巡林客,速查(内容不完全),基础职业(含替代等级/能力),[[7 扩展全新体系]] [[UA破译奥秘]],7 扩展全新体系\UA破译奥秘\2职业\变体\无名变体
0 核心三宝书\PHB玩家手册\3职业\基础职业\游荡者.htm,[PHB] 游荡者,游荡者 (PHB-玩家手册),4,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心,速查(内容不完全),基础职业(含替代等级/能力),[[0 核心三宝书]] [[PHB玩家手册]],0 核心三宝书\PHB玩家手册\3职业\基础职业
1 核心补充书籍\PHB2玩家手册2\职业替代能力\游荡者.htm,[PHB2] 扰乱攻击,扰乱攻击(游荡者) (PHB2-玩家手册2),5,速查(内容不完全) / 基础职业(含替代等级/能力) / 核心 / [PHB] 游荡者,速查(内容不完全),基础职业(含替代等级/能力),[[1 核心补充书籍]] [[PHB2玩家手册2]],1 核心补充书籍\PHB2玩家手册2\职业替代能力
